facility_id,facility_name,citytown,state,countyparish,measure_id,measure_name,compared_to_national,score,start_date,end_date
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,Better than the National Benchmark,5,07/01/2024,06/30/2025
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,Better than the National Benchmark,10547,07/01/2024,06/30/2025
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,Better than the National Benchmark,3,07/01/2024,06/30/2025
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,Better than the National Benchmark,6774,07/01/2024,06/30/2025
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,RIVERSIDE,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,RIVERSIDE,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,1406,07/01/2024,06/30/2025
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,RIVERSIDE,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,RIVERSIDE,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,3102,07/01/2024,06/30/2025
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,0,07/01/2024,06/30/2025
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,1357,07/01/2024,06/30/2025
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,1,07/01/2024,06/30/2025
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,SAN FRANCISCO,CA,SAN FRANCISCO,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,1562,07/01/2024,06/30/2025
050056,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,LOS ANGELES,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,No Different than National Benchmark,7,07/01/2024,06/30/2025
050056,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,LOS ANGELES,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,No Different than National Benchmark,8359,07/01/2024,06/30/2025
050056,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,LOS ANGELES,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,No Different than National Benchmark,12,07/01/2024,06/30/2025
050056,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,LOS ANGELES,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,No Different than National Benchmark,14207,07/01/2024,06/30/2025
